timestamp_utc,market_key,up_price,down_price,seconds_to_close,synthetic_depth,synthetic_volatility
2026-03-26T02:37:00Z,SOL5M_20260326T024000Z,0.501663,0.505451,180,302.756157,0.00154351
2026-03-26T02:37:01Z,SOL5M_20260326T024000Z,0.493261,0.517389,179,143.575666,0.00439459
2026-03-26T02:37:02Z,SOL5M_20260326T024000Z,0.496751,0.515465,178,217.986133,0.00409343
2026-03-26T02:37:03Z,SOL5M_20260326T024000Z,0.498092,0.513141,177,223.776727,0.00491286
2026-03-26T02:37:04Z,SOL5M_20260326T024000Z,0.511547,0.505227,176,68.008276,0.00950978
2026-03-26T02:37:05Z,SOL5M_20260326T024000Z,0.506351,0.501261,175,449.35431,0.00181956
2026-03-26T02:37:06Z,SOL5M_20260326T024000Z,0.501453,0.519166,174,109.532173,0.01035556
2026-03-26T02:37:07Z,SOL5M_20260326T024000Z,0.502545,0.50754,173,167.934906,0.00393272
2026-03-26T02:37:08Z,SOL5M_20260326T024000Z,0.504303,0.502767,172,322.738003,0.00172701
2026-03-26T02:37:09Z,SOL5M_20260326T024000Z,0.506839,0.500084,171,398.116628,0.00162241
2026-03-26T02:37:10Z,SOL5M_20260326T024000Z,0.513445,0.508032,170,93.075286,0.01042
2026-03-26T02:37:11Z,SOL5M_20260326T024000Z,0.514321,0.496292,169,172.128905,0.00425086
2026-03-26T02:37:12Z,SOL5M_20260326T024000Z,0.517177,0.501988,168,98.393688,0.00944403
2026-03-26T02:37:13Z,SOL5M_20260326T024000Z,0.520873,0.491533,167,171.528993,0.00458285
2026-03-26T02:37:14Z,SOL5M_20260326T024000Z,0.515525,0.49652,166,259.704513,0.00412108
2026-03-26T02:37:15Z,SOL5M_20260326T024000Z,0.518468,0.488135,165,333.653593,0.00195772
2026-03-26T02:37:16Z,SOL5M_20260326T024000Z,0.537831,0.485055,164,115.438232,0.01008734
2026-03-26T02:37:17Z,SOL5M_20260326T024000Z,0.534958,0.471799,163,379.601978,0.00167409
2026-03-26T02:37:18Z,SOL5M_20260326T024000Z,0.535033,0.475832,162,245.102353,0.00511265
2026-03-26T02:37:19Z,SOL5M_20260326T024000Z,0.527192,0.49368,161,97.503273,0.00939533
2026-03-26T02:37:20Z,SOL5M_20260326T024000Z,0.53104,0.477057,160,408.511561,0.00182126
2026-03-26T02:37:21Z,SOL5M_20260326T024000Z,0.528229,0.490231,159,107.909939,0.01113617
2026-03-26T02:37:22Z,SOL5M_20260326T024000Z,0.554586,0.465302,158,67.625286,0.01134085
2026-03-26T02:37:23Z,SOL5M_20260326T024000Z,0.556943,0.453929,157,205.976431,0.00446663
2026-03-26T02:37:24Z,SOL5M_20260326T024000Z,0.559643,0.453461,156,204.715531,0.00411093
2026-03-26T02:37:25Z,SOL5M_20260326T024000Z,0.555527,0.45126,155,353.690927,0.00176657
2026-03-26T02:37:26Z,SOL5M_20260326T024000Z,0.560732,0.449925,154,167.613768,0.00461922
2026-03-26T02:37:27Z,SOL5M_20260326T024000Z,0.571425,0.446479,153,66.826297,0.01107891
2026-03-26T02:37:28Z,SOL5M_20260326T024000Z,0.565025,0.447316,152,252.261709,0.00400362
2026-03-26T02:37:29Z,SOL5M_20260326T024000Z,0.563424,0.448209,151,191.726142,0.00395586
